FrameNumber,FrametimeMs,ImageIndex,PresentMode
735,4.13134,2,2
736,4.22138,1,2
737,4.19002,0,2
738,4.16542,2,2
739,4.10002,1,2
740,4.17718,0,2
741,4.15882,2,2
742,4.19623,1,2
743,4.20146,0,2
744,4.10843,2,2
745,4.15397,1,2
746,4.16592,0,2
747,4.17276,2,2
748,4.20554,1,2
749,4.20429,0,2
750,4.16872,2,2
751,4.08303,1,2
752,4.1639,0,2
753,4.18721,2,2
754,4.18281,1,2
755,4.20363,0,2
756,4.10588,2,2
757,4.21749,1,2
758,4.17247,0,2
759,4.0994,2,2
760,4.22282,1,2
761,4.22099,0,2
762,4.081,2,2
763,4.15299,1,2
764,4.26137,0,2
765,4.0715,2,2
766,4.27051,1,2
767,4.12583,0,2
768,4.16809,2,2
769,4.12414,1,2
770,4.1888,0,2
771,4.14229,2,2
772,4.17359,1,2
773,4.19624,0,2
774,4.16134,2,2
775,4.13652,1,2
776,4.21584,0,2
777,4.11775,2,2
778,4.15496,1,2
779,4.19125,0,2
780,4.19613,2,2
781,4.1684,1,2
782,4.09536,0,2
783,4.17704,2,2
784,4.21691,1,2
785,4.19344,0,2
786,4.1548,2,2
787,4.11238,1,2
788,4.14468,0,2
789,4.19878,2,2
790,4.13792,1,2
791,4.17445,0,2
792,4.16742,2,2
793,4.1698,1,2
794,4.16582,0,2
795,4.17947,2,2
796,4.19345,1,2
797,4.19963,0,2
798,4.1653,2,2
799,4.08848,1,2
800,4.17115,0,2
801,4.19391,2,2
802,4.13479,1,2
803,4.18016,0,2
804,4.2335,2,2
805,4.08609,1,2
806,4.15442,0,2
807,4.18781,2,2
808,4.15863,1,2
809,4.17468,0,2
810,4.17453,2,2
811,4.17435,1,2
812,4.20808,0,2
813,4.1099,2,2
814,4.16425,1,2
815,4.16671,0,2
816,4.18081,2,2
817,4.20543,1,2
818,4.1656,0,2
819,4.11764,2,2
820,4.16545,1,2
821,4.22716,0,2
822,4.19363,2,2
823,4.09464,1,2
824,4.15689,0,2
825,4.16384,2,2
826,4.223,1,2
827,4.1155,0,2
828,4.17479,2,2
829,4.14369,1,2
830,4.20334,0,2
831,4.17582,2,2
832,4.19501,1,2
833,4.17314,0,2
834,4.16882,2,2
835,4.1493,1,2
836,4.11264,0,2
837,4.16847,2,2
838,4.21422,1,2
839,4.12482,0,2
840,4.23177,2,2
841,4.16041,1,2
842,4.15038,0,2
843,4.10892,2,2
844,4.22451,1,2
845,4.17696,0,2
846,4.1642,2,2
847,4.1456,1,2
848,4.12406,0,2
849,4.17177,2,2
850,4.2255,1,2
851,4.13018,0,2
852,4.21492,2,2
853,4.10149,1,2
854,4.16166,0,2
855,4.17774,2,2
856,4.19593,1,2
857,4.18823,0,2
858,4.17334,2,2
859,4.09343,1,2
860,4.187,0,2
861,4.16644,2,2
862,4.17927,1,2
863,4.14378,0,2
864,4.23504,2,2
865,4.1638,1,2
866,4.1229,0,2
867,4.15841,2,2
868,4.22494,1,2
869,4.17763,0,2
870,4.159,2,2
871,4.16408,1,2
872,4.12141,0,2
873,4.1662,2,2
874,4.19568,1,2
875,4.19681,0,2
876,4.15164,2,2
877,4.16207,1,2
878,4.16631,0,2
879,4.1088,2,2
880,4.22045,1,2
881,4.16962,0,2
882,4.11646,2,2
883,4.18095,1,2
884,4.14084,0,2
885,4.20268,2,2
886,4.19313,1,2
887,4.13565,0,2
888,4.21221,2,2
889,4.15572,1,2
890,4.10649,0,2
891,4.18313,2,2
892,4.22211,1,2
893,4.15556,0,2
894,4.20104,2,2
895,4.13742,1,2
896,4.11392,0,2
897,4.18552,2,2
898,4.17455,1,2
899,4.12721,0,2
900,4.17606,2,2
901,4.16163,1,2
902,4.163,0,2
903,4.15898,2,2
904,4.22376,1,2
